	MLH3_expression
TCGA-TQ-A8XE-01	3.2812002639343567
TCGA-VM-A8CB-01	2.0798342085582657
TCGA-DU-7300-01	2.7429927333098103
TCGA-HT-7694-01	3.417722108808325
TCGA-HT-7471-01	4.0601306355882905
TCGA-FG-A4MT-01	2.8200913084076835
TCGA-FG-A4MT-02	3.042753742059797
TCGA-DB-A4XD-01	4.477474636785215
TCGA-TQ-A7RK-01	2.1425951401535843
TCGA-HT-7475-01	3.9808910202902377
TCGA-TQ-A7RO-01	3.123871481028776
TCGA-HT-7902-01	4.061957715974003
TCGA-FG-A711-01	3.346696179376308
TCGA-DB-5276-01	3.1518580237485545
TCGA-P5-A730-01	3.8549272133369286
TCGA-E1-A7YD-01	4.064138498846793
TCGA-HT-8015-01	3.633146870616948
TCGA-DU-7294-01	3.7662984725273048
TCGA-DH-A669-02	3.345224052648033
TCGA-DH-A669-01	3.6596385489745273
TCGA-HT-A617-01	3.63864446704156
TCGA-DU-A6S6-01	3.3747003467351275
TCGA-QH-A6X5-01	3.3461406465960155
TCGA-HT-7605-01	3.7959636908927323
TCGA-S9-A6WO-01	3.882046205520637
TCGA-QH-A6CX-01	4.032281124232148
TCGA-DU-A76L-01	3.582986347170918
TCGA-P5-A5F4-01	3.430959362475268
TCGA-S9-A6UA-01	3.9019548972181535
TCGA-VM-A8CH-01	3.5342481962435848
TCGA-HT-7609-01	3.463209642744074
TCGA-QH-A6X4-01	3.851121707199452
TCGA-DH-A7UV-01	2.4315947865843075
TCGA-TM-A7C3-01	4.0302299375114385
TCGA-S9-A6WG-01	4.011892474154054
TCGA-FG-6690-01	3.1418587418021335
TCGA-DU-8167-01	4.247053108057263
TCGA-QH-A65X-01	1.634064731450528
TCGA-HW-8319-01	3.7603092294294034
TCGA-P5-A780-01	3.585240346470294
TCGA-E1-5302-01	3.6604009138992404
TCGA-HW-A5KJ-01	1.934263095185093
TCGA-FG-7636-01	3.709576168331802
TCGA-CS-6290-01	3.3393044631927986
TCGA-DU-5847-01	3.4125694590465043
TCGA-DU-6406-01	3.9942446313141273
TCGA-TM-A84B-01	3.9236710889544124
TCGA-DU-A76O-01	3.124446711170407
